audio_file_id,album,song,year,artist
1,American VI: Ain't No Grave,Ain't No Grave,2010,Johnny Cash
2,Danse Macabre Op. 40,Danse Macabre,1874,Camille Saint-Saens
3,Ryan Adams [Explicit],Gimme Something Good,2014,Ryan Adams
4,Speak Now,Mine,2010,Taylor Swift
5,Symphony No. 3,"Sympohny No. 3, Op. 78",1887,Camille Saint-Saens
6,Roar,Roar,2013,Katy Perry
7,The Fragile,Somewhat Damaged,1999,Nine Inch Nails
8,Help!,Yesterday,1965,The Beatles
9,American IV: The Man Comes Around,Hurt,2002,Johnny Cash
10,Definitely Maybe,Shakermaker,1994,Oasis
11,With The Beatles,All My Loving,1963,The Beatles
12,Speak Now,Back To December,2010,Taylor Swift
13,Definitely Maybe,Live Forever,1994,Oasis
14,The Best,Wonderwall,1996,Oasis
15,(What's The Story) Morning Glory,Don't Look Back In Anger,1995,Oasis
16,Teenage Dream [Clean],Firework,2010,Katy Perry
17,Standing On The Shoulder Of Giants,Little James,2000,Oasis
18,Forgotten Time,Every Day Is Exactly The Same,2010,Nine Inch Nails
19,Magical Mystery Tour,I Am The Walrus,1967,The Beatles
20,1989 [+digital booklet],Shake It Off,2014,Taylor Swift
21,1989 [+digital booklet],Bad Blood,2014,Taylor Swift
22,1989,Bad Blood,2015,Ryan Adams
23,Teenage Dream [Explicit],E.T. [Explicit],2010,Katy Perry
24,V For Vendetta (Expanded),Evey Reborn,2006,Dario Marianelli
25,Definitely Maybe,Supersonic,1994,Oasis
26,We'd Like to Teach the World to Sing,I'd Like To Teach The World To Sing (In Perfect Harmony),1971,The New Seekers
27,Carnival of Animals,The Swan,1885,Camille Saint-Saens
28,The Downward Spiral,Hurt,1994,Nine Inch Nails
